_id,FSAPostalCombined,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
1,M6E 3Z7,PRINCE,LABRADOR RETR / RHOD RIDGEBACK,APRICOT / BLACK,09,Davenport,SEVERE,PARK - LEASH FREE AREA,2017-02-21
2,M6R 0A6,CHLOE,BEAGLE MIX,TAN / WHITE,04,Parkdale-High Park,VERY SEVERE,PUBLIC PROPERTY,2017-03-09
3,M3M 1X1,OSO,AKITA,WHITE / BLACK,06,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2017-03-11
4,M4N 2T2,HOBBES,CANE CORSO / LABRADOR RETR,BR BRINDLE,15,Don Valley West,SEVERE,OWNERS PROPERTY,2017-03-18
5,M1E,LILA,GERM SHEPHERD / AUST SHEPHERD,BLACK / TAN,25,Scarborough-Rouge Park,NON SEVERE,PARK - LEASH FREE AREA,2017-03-29
6,M3H,BRODY,ALASKAN HUSKY MIX,GREY / WHITE,06,York Centre,NON SEVERE,PARK - LEASH FREE AREA,2017-04-16
7,M6R,TANGO,AUST SHEPHERD,RED MERLE,04,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,2017-04-19
8,M1B,LEO,ROTTWEILER / BORDER COLLIE,BLACK / BROWN,23,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,2017-04-26
9,M2R,DASUL,JINDO,WHITE,18,Willowdale,NON SEVERE,OTHER PRIVATE PROPERTY,2017-06-21
10,M1W 3A7,TIGER,BOXER / AMER BULLDOG,BROWN / WHITE,22,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,2017-06-25
11,M4K 2P7,NEMO,SIBERIAN HUSKY,WHITE / GREY,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2017-08-02
12,M9A,ROCKY,GERM SHEPHERD MIX,BLACK / TAN,02,Etobicoke Centre,NON SEVERE,OWNERS PROPERTY,2017-09-29
13,M4J,MAX,GERM SHEPHERD,SABLE,14,Toronto-Danforth,NON SEVERE,PARK - LEASH FREE AREA,2017-10-02
14,M6N 4A2,MYA,ROTTWEILER,BLACK / TAN,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2017-10-24
15,M2N 3S6,ROSEY,ROTTWEILER,BLACK / TAN,18,Willowdale,SEVERE,OWNERS PROPERTY,2017-11-04
16,No FSA Info,DANNY,BELG MALINOIS MIX,BROWN / BLACK,,No Ward Info,NON SEVERE,OTHER PRIVATE PROPERTY,2018-02-11
17,M4S,RONIN,ROTTWEILER,BLACK / TAN,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2018-02-25
18,M1G 1V6,MOOKI,AKBASH / GERM SHEPHERD,TAN,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2018-04-08
19,M1M 2X5,MAVIS,LABRADOR RETR / BORDER COLLIE,TRICOLOUR,20,Scarborough Southwest,SEVERE,PARK - LEASH FREE AREA,2018-04-18
20,M4C 5A2,TITAN,LABRADOR RETR / AMER BULLDOG,CHOCOLATE / WHITE,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2018-04-21
21,M8Y 2C9,GEORGE,GOLDEN RETR / POODLE STND,CREAM / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-05-23
22,M6M,ROCKY,BICHON FRISE / POODLE MIN,WHITE,05,York South-Weston,NON SEVERE,OWNERS PROPERTY,2018-05-24
23,M1E 1L7,ROMULUS,RHOD RIDGEBACK / GERM SHEPHERD,TAN,24,Scarborough-Guildwood,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-06-02
24,M6A 1L1,BEAU,LABRADOR RETR,BLACK,08,Eglinton-Lawrence,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-07-09
25,M6E,THEODORE,PUG / BOSTON TERRIER,BLACK / WHITE,09,Davenport,NON SEVERE,OWNERS PROPERTY,2018-07-23
26,M1W 1Y7,SADIE,BOXER / GERM SHEPHERD,TAN,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2018-08-03
27,M1W,TORY,SHIH TZU,WHITE / GREY,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2018-08-14
28,M6A,PRINCE,LABRADOR RETR,BLACK,08,Eglinton-Lawrence,NON SEVERE,OWNERS PROPERTY,2018-08-15
29,M4B 1A4,TITAN,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2018-08-31
30,M2J,JAXSON,SIBERIAN HUSKY / GERM SHEPHERD,TAN / BLACK,17,Don Valley North,NAB,OTHER PRIVATE PROPERTY,2018-09-17
31,M4K,AIDEN,SC WHEAT TERR,WHITE,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2018-09-23
32,M8Y 1M9,DUTCH,MASTIFF / CANE CORSO,GREY / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-10-29
33,M4Y 1H5,ILA,BOXER / BULL TERRIER,FAWN,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2018-11-25
34,M3N 1N4,SHEBA,LABRADOR RETR MIX,BLACK,07,Humber River-Black Creek,SEVERE,OTHER PRIVATE PROPERTY,2018-12-22
35,M9W 7C6,HUNTER,GERM SHEPHERD,BROWN / BLACK,01,Etobicoke North,SEVERE,PUBLIC PROPERTY,2019-01-18
36,M4J 1V9,ELIE,GERM SHEPHERD,BROWN / BLACK,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2019-02-10
37,M9V,TUX,TERRIER MIX,BLACK / WHITE,01,Etobicoke North,NON SEVERE,PUBLIC PROPERTY,2019-03-15
38,M3A 2R4,BELLA,AMER BULLDOG MIX,BROWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-03-31
39,M8Y 4E1,TONY,AMER BULLDOG,WHITE / BLACK,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2019-04-01
40,M5A,BIGGIE,AMER BULLDOG / SIBERIAN HUSKY,BLACK,13,Toronto Centre,NON SEVERE,PUBLIC PROPERTY,2019-04-09
41,M9P,MILO,YORKSHIRE TERR / POODLE MIN,GOLD,01,Etobicoke North,NON SEVERE,OTHER PRIVATE PROPERTY,2019-04-24
42,M6H,MR. BROWN,BOXER / LABRADOR RETR,BROWN / WHITE,09,Davenport,NON SEVERE,PUBLIC PROPERTY,2019-05-08
43,M4M 1V7,BELLA,AUST CATTLE DOG / LABRADOR RETR,GREY / BLACK,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2019-05-14
44,M2H,RONIN,GERM SHEPHERD,BLACK / RED,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2019-05-18
45,M1B 3G2,SCOOBY,MASTIFF MIX,BROWN / WHITE,25,Scarborough-Rouge Park,SEVERE,OTHER PRIVATE PROPERTY,2019-06-07
46,M4Y 2J6,BO,GERM SHEPHERD,BEIGE / BLACK,13,Toronto Centre,SEVERE,PUBLIC PROPERTY,2019-06-11
47,M1H,ODIE,PARSON RUSS TER,WHITE / BROWN,24,Scarborough-Guildwood,NON SEVERE,OWNERS PROPERTY,2019-06-15
48,M3L 1W6,REX,GERM SHEPHERD MIX,BLACK / TAN,06,York Centre,SEVERE,PUBLIC PROPERTY,2019-06-18
49,M1B 4M1,CHARLI THASA,GERM SHEPHERD / LABRADOR RETR,BROWN / BLACK,25,Scarborough-Rouge Park,SEVERE,OTHER PRIVATE PROPERTY,2019-06-22
50,M6K 2N1,TUCKER,ENG COONHOUND,RED,04,Parkdale-High Park,SEVERE,OWNERS PROPERTY,2019-06-27
51,M5B,CLYDE,AMER BULLDOG / MASTIFF,BR BRINDLE / WHITE,13,Toronto Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2019-07-01
52,M1E 2L5,ZION,MASTIFF,BROWN,25,Scarborough-Rouge Park,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-08-03
53,M1E 2L5,SHATTER,SIBERIAN HUSKY,BLACK / WHITE,25,Scarborough-Rouge Park,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-08-03
54,M3B 1R1,JOSIE,COCKER SPAN,BLACK,15,Don Valley West,VERY SEVERE,PUBLIC PROPERTY,2019-09-23
55,M1S,ZHAZHA,GERM SHEPHERD,BLACK / YELLOW,23,Scarborough North,NOT A BITE,OWNERS PROPERTY,2019-10-10
56,M3C 1L6,MYSTIC,AMER BULLDOG / BULLMASTIFF,CHOCOLATE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2019-10-22
